"g","tau_d","tau_r","tau_f","U"
5.662,2.818,853.244333445378,47.1251645966386,0.324967980588235
3.29612,3.6,853.244333445378,47.1251645966386,0.324967980588235
3.65636,2.377,853.244333445378,47.1251645966386,0.324967980588235
6.38628,1.835,853.244333445378,47.1251645966386,0.324967980588235
4.01432,3.41,853.244333445378,47.1251645966386,0.324967980588235
7.94352,4.127,853.29006302521,47.1283316890756,0.32495518210084
3.55148,2.407,853.423075966387,47.1381915882353,0.324916575546218
1.89316,14.812,853.29006302521,47.1283316890756,0.32495518210084
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,853.306824537815,47.1295165714286,0.324950442689076
19.585536,1.498,2122.15747647059,86.3369773445378,0.179388038319328
2.88806,14.725,2122.1502605042,86.3433780168067,0.17937980092437
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,242.483238235294,110.395063579832,0.334006445210084
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,397.157978403361,78.7915603277311,0.231951222605042
9.947043,0.915,389.197036722689,92.561020697479,0.261127313193277
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,238.395751092437,183.994537226891,0.135078151512605
2.08421,2.844,231.751163109244,179.902878487395,0.218119971092437
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,231.777539327731,179.914642016807,0.218087659579832
0.48507,3.02,231.777539327731,179.914642016807,0.218087659579832
0.33078,4.054,231.777539327731,179.914642016807,0.218087659579832
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,1955.85187647059,63.5725953193277,0.0569343337226891
0.20223,9.789,1955.80604705882,63.5878875546218,0.0569183399327731
0.4416,9.101,1955.80604705882,63.5878875546218,0.0569183399327731
0.3792,16.139,1955.80604705882,63.5878875546218,0.0569183399327731
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1954.13436722689,63.6147059579832,0.056968896907563
4.987008,1.306,1930.93944621849,190.699462689076,0.15326897789916
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,1930.93944621849,190.699462689076,0.15326897789916
5.62445,2.2,1930.93944621849,190.699462689076,0.15326897789916
4.88665,0.997,1932.5792210084,190.784801260504,0.153187257563025
4.84925,1.118,1928.26246890756,190.568740588235,0.153408182773109
3.8828,1.24,1924.04346386555,190.378780252101,0.153636784033613
0.484515,16.22,1467.30167394958,74.6497879243697,0.238584311428571
0.74124,11.424,1467.30167394958,74.6497879243697,0.238584311428571
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,717.217130789916,135.299472764706,0.457967435042017
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2207.3122184874,29.1410808907563,0.0397192655630252
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
10.291496,0.74,1845.695,1.546,0.404
2.334469,0.855,1737.556,31.157,0.199
2.334469,0.855,1737.556,31.157,0.199
0.95532,1.964,66.666,185.901,0.38
0.95532,1.964,66.666,185.901,0.38
1.920928,1.002,50.597,10.194,0.008
3.41952,0.71,1594.29277142857,43.7068837563025,0.296902142016807
0.2694,0.812,1337.71736890756,72.167201605042,0.275419241344538
5.2768,2.429,2372.20043109244,58.0300751596639,0.25815377487395
0.594704,11.34,2375.968,64.045,0.248
1.432574,6.126,2473.302,57.321,0.286
9.301394,1.41,2826.772,295.528,0.094
37.000667,0.798,50,1.016,0.199
8.46054,1.117,2005.57726806723,192.295255042017,0.160703943697479
9.253997,0.496,59.028,29.389,0.001
0.407208,3.158,2769.188,23.855,0.012
0.77792,1.368,425.401341596639,213.192774117647,0.195024110420168
0.89832,0.804,79.147,261.209,0.228
0.69004,1.628,425.401341596639,213.192774117647,0.195024110420168
0.24076,5.593,419.845120084033,210.869440336135,0.192378913277311
0.195846,5.434,86.037,56.901,0.021
0.02662,30.19,55.163,135.202,0.11
0.117718,2.977,294.168,5.113,0.142
1.177821,5.526,1313.38566890756,48.2266930672269,0.340874104873949
3.323673,3.304,1313.4175815126,48.2680086554622,0.340863440840336
1.164834,6.327,1313.40792016807,48.2541064957983,0.340867050168067
1.257741,0.964,1728.93510504202,19.7997660294117,0.509915307058823
0.489656,1.254,1914.475,14.201,0.631
17.955027,0.579,1081.84348134454,49.4327012268907,0.307057852773109
3.259737,1.425,1000.81035848739,51.1648343781512,0.313294468739496
4.694301,0.82,1039.35053672269,52.4636830756302,0.301265340084034
3.000398,0.919,63.167,68.332,0.289
9.899091,0.596,452.066358739496,148.431214647059,0.373348960588235
1.530468,1.322,1055.48566226891,47.1671614201681,0.302747898991597
0.514792,5.507,50.131,41.015,0.002
9.903712,1.272,2255.176,5.608,0.532
14.599008,1.399,301.595,1.381,0.732
7.889564,0.737,1693.318,5.984,0.739
6.37479,0.592,111.844,157.595,0.09
7.78603,0.869,81.941,98.092,0.07
9.79776,0.609,2957.57,297.432,0.064
4.204717,1.058,126.038,259.108,0.407
4.204717,1.058,126.038,259.108,0.407
3.53616,0.944,110.645,293.549,0.48
3.53616,0.944,110.645,293.549,0.48
2.940684,0.753,158.861,150.669,0.492
2.940684,0.753,158.861,150.669,0.492
3.848544,0.877,124.823,266.312,0.414
3.848544,0.877,124.823,266.312,0.414
15.221226,0.448,2121.165,5.79,0.258
1.245887,1.2,50.12,1.269,0.437
1.245887,1.2,50.12,1.269,0.437
7.84265,1.395,2121.892,10.035,0.05
49.49382,0.832,1839.38592857143,15.7722515168067,0.231865422352941
3.81184,0.58,1794.84007226891,30.1676992016807,0.266903308907563
35.869911,0.866,50.047,1.024,0.539
2.59718,2.278,960.335,4.642,0.284
1.135985,0.707,2230.859,3.019,0.335
0.2726,4.981,69.312,13.489,0.2
7.350189,1.203,2258.648,10.835,0.231
69.46622,1.555,2059.735,23.454,0.157
0.354468,0.979,482.691,61.064,0.218
0.366212,2.468,1795.661,16.176,0.308
0.366212,2.468,1795.661,16.176,0.308
0.596336,2.778,215.645,93.901,0.752
4.936022,5.216,2043.806,2.831,0.091
4.936022,5.216,2043.806,2.831,0.091
4.936022,5.216,2043.806,2.831,0.091
4.936022,5.216,2043.806,2.831,0.091
1.138844,3.072,132.051,27.677,0.623
1.138844,3.072,132.051,27.677,0.623
1.138844,3.072,132.051,27.677,0.623
6.163872,1.539,58.073,9.705,0.052
3.88047,1.831,51.959,162.103,0.165
0.554961,0.816,1010.55775277311,89.4965867647059,0.337309249243697
0.39771,0.911,1010.55775277311,89.4965867647059,0.337309249243697
0.40182,0.939,1010.55775277311,89.4965867647059,0.337309249243697
0.44304,0.854,1010.55775277311,89.4965867647059,0.337309249243697
0.28188,2.739,1010.55775277311,89.4965867647059,0.337309249243697
1.04616,2.788,906.926907226891,84.2707384453782,0.279357258907563
0.94536,3.258,906.926907226891,84.2707384453782,0.279357258907563
0.90048,2.762,906.926907226891,84.2707384453782,0.279357258907563
0.94484,3.639,906.926907226891,84.2707384453782,0.279357258907563
0.97272,3.075,906.926907226891,84.2707384453782,0.279357258907563
0.79992,3.484,907.030652941177,84.2248903865546,0.27946637394958
1.04256,3.394,906.773362016807,84.3251265210084,0.279226417647059
1.21104,2.966,906.926907226891,84.2707384453782,0.279357258907563
1.96848,1.976,906.926907226891,84.2707384453782,0.279357258907563
0.85032,2.748,906.926907226891,84.2707384453782,0.279357258907563
0.31968,6.904,906.926907226891,84.2707384453782,0.279357258907563
0.3384,35.029,906.926907226891,84.2707384453782,0.279357258907563
0.36936,8.387,907.036188739496,84.2220841764706,0.279473034201681
1.67472,1.505,906.942021344538,84.2646750168067,0.279371744705882
0.6048,6.719,906.827938235294,84.3070321260504,0.279270171428571
0.610389,3.406,1231.24581260504,88.0024421176471,0.242191875882353
2.138859,2.503,1231.24581260504,88.0024421176471,0.242191875882353
6.716277,0.813,1231.24581260504,88.0024421176471,0.242191875882353
4.0528,0.53,1106.3219394958,98.0193379663865,0.286377506302521
4.0528,0.53,1106.76615495798,98.225933487395,0.286580102773109
3.5888,1.01,1091.43953588235,91.5526932352941,0.317261407142857
3.5888,1.01,1091.54037647059,91.503573605042,0.318170274033613
3.258,0.772,974.616739243697,103.563877252101,0.279399480420168
3.372,0.772,974.616739243697,103.563877252101,0.279399480420168
1.58,0.554,974.616739243697,103.563877252101,0.279399480420168
4.032,0.43,974.616739243697,103.563877252101,0.279399480420168
0.43976,0.367,973.100034201681,103.655644621849,0.27703252092437
0.39054,0.367,973.100034201681,103.655644621849,0.27703252092437
