"g","tau_d","tau_r","tau_f","U"
5.662,2.818,842.237993402062,47.8456438865979,0.384367370412371
3.29612,3.6,842.237993402062,47.8456438865979,0.384367370412371
3.65636,2.377,842.237993402062,47.8456438865979,0.384367370412371
6.38628,1.835,842.237993402062,47.8456438865979,0.384367370412371
4.01432,3.41,842.237993402062,47.8456438865979,0.384367370412371
7.94352,4.127,842.278455360825,47.8446032783505,0.384366446907216
3.55148,2.407,842.402407113402,47.8431134536082,0.384361183298969
1.89316,14.812,842.278455360825,47.8446032783505,0.384366446907216
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,842.293516597938,47.8442888453608,0.38436599814433
19.585536,1.498,2532.99692783505,82.6787647525773,0.117144048938144
2.88806,14.725,2533.07762061856,82.6821802989691,0.117130563319588
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,56.4878085051546,145.372691092783,0.395830886597938
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,533.016161443299,90.6235747216495,0.298507376082474
9.947043,0.915,408.524423298969,119.133139257732,0.312109378453608
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,111.054059123711,287.562875463917,0.140793776164948
2.08421,2.844,79.5944872061856,283.932058659794,0.250095498453608
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,79.6023806701031,283.969682783505,0.249966277010309
0.48507,3.02,79.6023806701031,283.969682783505,0.249966277010309
0.33078,4.054,79.6023806701031,283.969682783505,0.249966277010309
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2259.53263917526,42.1560974948453,0.0478382527113402
0.20223,9.789,2259.98853195876,42.2019795051546,0.0477637966701031
0.4416,9.101,2259.98853195876,42.2019795051546,0.0477637966701031
0.3792,16.139,2259.98853195876,42.2019795051546,0.0477637966701031
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,2258.43681134021,42.2786606804124,0.0477061154948454
4.987008,1.306,2870.38180412371,298.308411237113,0.128214402154639
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2870.38180412371,298.308411237113,0.128214402154639
5.62445,2.2,2870.38180412371,298.308411237113,0.128214402154639
4.88665,0.997,2870.2312628866,298.30512742268,0.128204308484536
4.84925,1.118,2870.4264072165,298.310306082474,0.12824492372165
3.8828,1.24,2870.11712474227,298.306554020619,0.128321093845361
0.484515,16.22,2102.30456185567,51.9782105463918,0.278374906494845
0.74124,11.424,2102.30456185567,51.9782105463918,0.278374906494845
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,103.545276731959,213.652948865979,0.545249159484536
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2505.33456804124,21.858514371134,0.0280194280618557
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
10.291496,0.74,1845.695,1.546,0.404
2.334469,0.855,1737.556,31.157,0.199
2.334469,0.855,1737.556,31.157,0.199
0.95532,1.964,66.666,185.901,0.38
0.95532,1.964,66.666,185.901,0.38
