"g","tau_d","tau_r","tau_f","U"
5.662,2.818,848.276531830277,47.3483887637026,0.315370093189043
3.29612,3.6,848.276531830277,47.3483887637026,0.315370093189043
3.65636,2.377,848.276531830277,47.3483887637026,0.315370093189043
6.38628,1.835,848.276531830277,47.3483887637026,0.315370093189043
4.01432,3.41,848.276531830277,47.3483887637026,0.315370093189043
7.94352,4.127,905.488252010272,46.9952648603696,0.32800552152238
3.55148,2.407,770.492414610305,42.9387333113864,0.347613695202034
1.89316,14.812,905.488252010272,46.9952648603696,0.32800552152238
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,905.093626260271,46.9708210603697,0.32848012152238
19.585536,1.498,2033.624820763,84.3135731483113,0.177556610714304
2.88806,14.725,2021.01582068681,83.4249209006927,0.179131408333352
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,288.800991755683,100.920760513939,0.30872227774889
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,394.357022644883,77.0176893411874,0.213211385804473
9.947043,0.915,396.231926250715,95.2360879558368,0.26721540282827
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,242.7242297412,182.3294983987,0.135336946468261
2.08421,2.844,139.408421583271,181.597833352236,0.219551643181794
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,255.247113371591,174.018148597231,0.211482771515127
0.48507,3.02,255.247113371591,174.018148597231,0.211482771515127
0.33078,4.054,255.247113371591,174.018148597231,0.211482771515127
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,1847.03523201825,66.4248038935718,0.0749058471428613
0.20223,9.789,1965.90838518915,64.5124029217073,0.0544792048015885
0.4416,9.101,1965.90838518915,64.5124029217073,0.0544792048015885
0.3792,16.139,1965.90838518915,64.5124029217073,0.0544792048015885
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1777.98792659171,62.9956980596045,0.0828161609127031
4.987008,1.306,1952.34587947515,190.140377389072,0.151429312142842
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,1952.34587947515,190.140377389072,0.151429312142842
5.62445,2.2,1952.34587947515,190.140377389072,0.151429312142842
4.88665,0.997,1930.12657132111,190.456975583119,0.151573295952366
4.84925,1.118,1804.84163307097,181.273364091688,0.158305429880936
