"g","tau_d","tau_r","tau_f","U"
5.662,2.818,0,0,0
3.29612,3.6,0,0,0
3.65636,2.377,0,0,0
6.38628,1.835,0,0,0
4.01432,3.41,0,0,0
7.94352,4.127,0,0,0
3.55148,2.407,0,0,0
1.89316,14.812,0,0,0
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,0,0,0
19.585536,1.498,0,0,0
2.88806,14.725,0,0,0
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,0,0,0
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,0,0,0
9.947043,0.915,0,0,0
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,0,0,0
2.08421,2.844,0,0,0
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,0,0,0
0.48507,3.02,0,0,0
0.33078,4.054,0,0,0
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,0,0,0
0.20223,9.789,0,0,0
0.4416,9.101,0,0,0
0.3792,16.139,0,0,0
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,0,0,0
4.987008,1.306,0,0,0
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,0,0,0
5.62445,2.2,0,0,0
4.88665,0.997,0,0,0
4.84925,1.118,0,0,0
3.8828,1.24,0,0,0
0.484515,16.22,0,0,0
0.74124,11.424,0,0,0
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,0,0,0
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,0,0,0
2.17525,2.357,2699.799,25.44,0.07
