"g","tau_d","tau_r","tau_f","U"
5.662,2.818,789.570131846154,47.7304449230769,0.333968434615385
3.29612,3.6,789.570131846154,47.7304449230769,0.333968434615385
3.65636,2.377,789.570131846154,47.7304449230769,0.333968434615385
6.38628,1.835,789.570131846154,47.7304449230769,0.333968434615385
4.01432,3.41,789.570131846154,47.7304449230769,0.333968434615385
7.94352,4.127,789.590538153846,47.7306461076923,0.333965109846154
3.55148,2.407,789.651593846154,47.7315230153846,0.333953728769231
1.89316,14.812,789.590538153846,47.7306461076923,0.333965109846154
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,789.598072461539,47.7307315076923,0.333963826
19.585536,1.498,2801.11518153846,92.2532566,0.174755660769231
2.88806,14.725,2801.05191692308,92.2502194,0.174759079538462
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,56.4712992461539,123.087669661538,0.352995539076923
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,399.038420307692,87.8220870153846,0.270344138153846
9.947043,0.915,383.051856615385,94.7603057384615,0.272768648923077
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,187.879429230769,192.490841538462,0.125669069861538
2.08421,2.844,152.142048923077,209.551624153846,0.227772982
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,152.145963846154,209.558969230769,0.227747966615385
0.48507,3.02,152.145963846154,209.558969230769,0.227747966615385
0.33078,4.054,152.145963846154,209.558969230769,0.227747966615385
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2010.06526923077,50.8157991692308,0.0525604971384615
0.20223,9.789,2010.26054923077,50.8043873076923,0.0525328249230769
0.4416,9.101,2010.26054923077,50.8043873076923,0.0525328249230769
0.3792,16.139,2010.26054923077,50.8043873076923,0.0525328249230769
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,2008.11648923077,50.8699710461538,0.0525602334923077
4.987008,1.306,2328.08164923077,223.645619846154,0.141598852
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2328.08164923077,223.645619846154,0.141598852
5.62445,2.2,2328.08164923077,223.645619846154,0.141598852
4.88665,0.997,2328.47649846154,223.64818,0.141587366615385
4.84925,1.118,2327.32970153846,223.640558,0.141614922153846
3.8828,1.24,2325.97412,223.631475384615,0.141634020769231
0.484515,16.22,1507.16146923077,66.6076149846154,0.258897252769231
0.74124,11.424,1507.16146923077,66.6076149846154,0.258897252769231
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,121.842846076923,157.795058153846,0.464002375076923
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2238.98602307692,27.1464137538462,0.0345296934769231
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
