"g","tau_d","tau_r","tau_f","U"
5.662,2.818,843.225549159664,47.9426399243698,0.325685071260504
3.29612,3.6,843.225549159664,47.9426399243698,0.325685071260504
3.65636,2.377,843.225549159664,47.9426399243698,0.325685071260504
6.38628,1.835,843.225549159664,47.9426399243698,0.325685071260504
4.01432,3.41,843.225549159664,47.9426399243698,0.325685071260504
7.94352,4.127,843.264035462185,47.9443096890757,0.325676807058823
3.55148,2.407,843.377730840336,47.949561210084,0.325651916302521
1.89316,14.812,843.264035462185,47.9443096890757,0.325676807058823
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,843.278204957983,47.9449378067227,0.32567374907563
19.585536,1.498,2216.46086302521,88.4300065714286,0.179429908319328
2.88806,14.725,2216.41080084034,88.4293229411765,0.179431745042017
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,172.477039815126,116.930665638655,0.344112464285714
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,395.278083109244,80.8342560756303,0.243088332857143
9.947043,0.915,395.944473109244,91.8628137478991,0.258240500084033
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,233.548308571429,184.09776605042,0.132388737478992
2.08421,2.844,225.927653361344,182.658850420168,0.218898460252101
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,225.949502184874,182.672390420168,0.218871776722689
0.48507,3.02,225.949502184874,182.672390420168,0.218871776722689
0.33078,4.054,225.949502184874,182.672390420168,0.218871776722689
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,1972.24201008403,61.4706078823529,0.0554045333445378
0.20223,9.789,1972.06136806723,61.4739243445378,0.0553960261092437
0.4416,9.101,1972.06136806723,61.4739243445378,0.0553960261092437
0.3792,16.139,1972.06136806723,61.4739243445378,0.0553960261092437
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1970.78580756303,61.5714909327731,0.0553630310084034
4.987008,1.306,1962.93080504202,193.261669747899,0.152136677983193
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,1962.93080504202,193.261669747899,0.152136677983193
5.62445,2.2,1962.93080504202,193.261669747899,0.152136677983193
4.88665,0.997,1963.2381487395,193.268320756302,0.152118148067227
4.84925,1.118,1962.32168235294,193.249755378151,0.152174466386555
3.8828,1.24,1961.17943277311,193.230101260504,0.152245973697479
0.484515,16.22,1485.94755294118,73.7169439579832,0.245753989159664
0.74124,11.424,1485.94755294118,73.7169439579832,0.245753989159664
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,163.422860983193,147.703059159664,0.465020266722689
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2250.88756470588,27.8188204285714,0.0358400393277311
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
10.291496,0.74,1845.695,1.546,0.404
2.334469,0.855,1737.556,31.157,0.199
2.334469,0.855,1737.556,31.157,0.199
0.95532,1.964,66.666,185.901,0.38
0.95532,1.964,66.666,185.901,0.38
1.920928,1.002,50.597,10.194,0.008
3.41952,0.71,1727.6511117647,33.7551475966387,0.311701993361345
0.2694,0.812,1300.78304201681,71.9275358655462,0.278004313193277
5.2768,2.429,2411.139,57.0168349243698,0.265519483109244
0.594704,11.34,2375.968,64.045,0.248
1.432574,6.126,2473.302,57.321,0.286
9.301394,1.41,2826.772,295.528,0.094
37.000667,0.798,50,1.016,0.199
8.46054,1.117,2226.72753613445,210.636901848739,0.163937292352941
9.253997,0.496,59.028,29.389,0.001
0.407208,3.158,2769.188,23.855,0.012
0.77792,1.368,407.356894537815,219.193061596639,0.200251995714286
0.89832,0.804,79.147,261.209,0.228
0.69004,1.628,407.356894537815,219.193061596639,0.200251995714286
0.24076,5.593,405.609657478992,218.093111512605,0.199199822352941
0.195846,5.434,86.037,56.901,0.021
0.02662,30.19,55.163,135.202,0.11
0.117718,2.977,294.168,5.113,0.142
1.177821,5.526,1306.71341512605,48.3789977815126,0.346184615462185
3.323673,3.304,1306.71468907563,48.3927651932773,0.346161587815126
1.164834,6.327,1306.7146605042,48.3881389327731,0.346169301344538
1.257741,0.964,1871.4732789916,16.8197145252101,0.548105694201681
0.489656,1.254,1914.475,14.201,0.631
17.955027,0.579,1087.04644168067,53.0790546134454,0.30911551882353
3.259737,1.425,986.247513613446,49.6377260420168,0.319734622352941
4.694301,0.82,1058.72507218487,54.6218619159664,0.301663679831933
3.000398,0.919,63.167,68.332,0.289
9.899091,0.596,391.052186134454,133.939587243697,0.357887854033613
1.530468,1.322,1062.33958067227,51.302454605042,0.298975498403361
0.514792,5.507,50.131,41.015,0.002
9.903712,1.272,2255.176,5.608,0.532
14.599008,1.399,301.595,1.381,0.732
7.889564,0.737,1693.318,5.984,0.739
6.37479,0.592,111.844,157.595,0.09
7.78603,0.869,81.941,98.092,0.07
9.79776,0.609,2957.57,297.432,0.064
4.204717,1.058,126.038,259.108,0.407
4.204717,1.058,126.038,259.108,0.407
3.53616,0.944,110.645,293.549,0.48
3.53616,0.944,110.645,293.549,0.48
2.940684,0.753,158.861,150.669,0.492
2.940684,0.753,158.861,150.669,0.492
3.848544,0.877,124.823,266.312,0.414
3.848544,0.877,124.823,266.312,0.414
15.221226,0.448,2121.165,5.79,0.258
1.245887,1.2,50.12,1.269,0.437
