"g","tau_d","tau_r","tau_f","U"
5.662,2.818,835.447490442478,48.3996385840708,0.326324174690265
3.29612,3.6,835.447490442478,48.3996385840708,0.326324174690265
3.65636,2.377,835.447490442478,48.3996385840708,0.326324174690265
6.38628,1.835,835.447490442478,48.3996385840708,0.326324174690265
4.01432,3.41,835.447490442478,48.3996385840708,0.326324174690265
7.94352,4.127,835.481078495575,48.400528460177,0.32631492460177
3.55148,2.407,835.581288230089,48.403454920354,0.326286697964602
1.89316,14.812,835.481078495575,48.400528460177,0.32631492460177
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,835.493445575222,48.4008694867257,0.326311485663717
19.585536,1.498,2346.18746548673,90.9921563451327,0.17910789920354
2.88806,14.725,2346.14919115044,90.9911332212389,0.179110770530973
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,101.135437699115,121.698066477876,0.348470516283186
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,388.580673982301,82.9614236725664,0.250857257345133
9.947043,0.915,394.781482566372,92.9598257345133,0.257820522654867
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,227.028671415929,185.03296221239,0.132236513690265
2.08421,2.844,217.340143628319,186.170901681416,0.221398146106195
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,217.350721415929,186.181857256637,0.221370629823009
0.48507,3.02,217.350721415929,186.181857256637,0.221370629823009
0.33078,4.054,217.350721415929,186.181857256637,0.221370629823009
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,1993.80220973451,59.1856202300885,0.0545059886902655
0.20223,9.789,1993.74884424779,59.1785004424779,0.0544898209823009
0.4416,9.101,1993.74884424779,59.1785004424779,0.0544898209823009
0.3792,16.139,1993.74884424779,59.1785004424779,0.0544898209823009
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1992.20519911504,59.2918517345133,0.0544901437256637
4.987008,1.306,2003.63843008849,196.313813185841,0.15098018159292
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2003.63843008849,196.313813185841,0.15098018159292
5.62445,2.2,2003.63843008849,196.313813185841,0.15098018159292
4.88665,0.997,2003.72581858407,196.321820265487,0.150961224070796
4.84925,1.118,2003.35289646018,196.300203097345,0.151015323097345
3.8828,1.24,2002.65624690265,196.278623274336,0.15107681840708
0.484515,16.22,1503.37161769911,72.8425512654867,0.251014098230088
0.74124,11.424,1503.37161769911,72.8425512654867,0.251014098230088
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,137.955680256637,154.944784690265,0.468230386725664
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2266.51267256637,27.0497297699115,0.0341192269911504
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
