"g","tau_d","tau_r","tau_f","U"
5.662,2.818,779.652546524823,47.203850070922,0.337502026524823
3.29612,3.6,779.652546524823,47.203850070922,0.337502026524823
3.65636,2.377,779.652546524823,47.203850070922,0.337502026524823
6.38628,1.835,779.652546524823,47.203850070922,0.337502026524823
4.01432,3.41,779.652546524823,47.203850070922,0.337502026524823
7.94352,4.127,779.683269361702,47.2039027872341,0.337497715602837
3.55148,2.407,779.77527141844,47.2043463262411,0.337483230141844
1.89316,14.812,779.683269361702,47.2039027872341,0.337497715602837
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,779.69462106383,47.2039363120567,0.337496050851064
19.585536,1.498,2811.72016879432,91.7076455957447,0.170121239503546
2.88806,14.725,2811.67723829787,91.7043442765958,0.170124850921986
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,57.3163686950355,123.203512808511,0.353540878865248
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,388.577769148936,89.4507781843972,0.278186775319149
9.947043,0.915,368.177085815603,96.4925939148936,0.281337913475177
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,176.144003546099,194.771894042553,0.124237516368794
2.08421,2.844,128.040895716312,216.06752787234,0.229128865673759
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,128.047978808511,216.076275390071,0.229109612056737
0.48507,3.02,128.047978808511,216.076275390071,0.229109612056737
0.33078,4.054,128.047978808511,216.076275390071,0.229109612056737
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2003.1435929078,50.0301063900709,0.0529424494751773
0.20223,9.789,2003.45371134752,50.0184787943262,0.0529138225035461
0.4416,9.101,2003.45371134752,50.0184787943262,0.0529138225035461
0.3792,16.139,2003.45371134752,50.0184787943262,0.0529138225035461
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,2001.36844397163,50.0783134468085,0.0529381541702128
4.987008,1.306,2425.37988865248,240.39106106383,0.138212455843972
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2425.37988865248,240.39106106383,0.138212455843972
5.62445,2.2,2425.37988865248,240.39106106383,0.138212455843972
4.88665,0.997,2425.70802269504,240.411835319149,0.138187803446808
4.84925,1.118,2424.70064609929,240.353357801419,0.138248306312057
3.8828,1.24,2423.39628014184,240.287025673759,0.138295502879433
0.484515,16.22,1511.88973262411,65.0454273546099,0.259793754255319
0.74124,11.424,1511.88973262411,65.0454273546099,0.259793754255319
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,124.246443248227,158.21337929078,0.467074395531915
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2241.77277730496,26.9788117730496,0.0345690980425532
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
10.291496,0.74,1845.695,1.546,0.404
2.334469,0.855,1737.556,31.157,0.199
2.334469,0.855,1737.556,31.157,0.199
0.95532,1.964,66.666,185.901,0.38
0.95532,1.964,66.666,185.901,0.38
1.920928,1.002,50.597,10.194,0.008
3.41952,0.71,1804.6352070922,31.0871490567376,0.354223478297872
0.2694,0.812,1208.86181134752,63.4952970851064,0.26786634212766
5.2768,2.429,2331.7885751773,55.1950316950354,0.277351929361702
0.594704,11.34,2375.968,64.045,0.248
1.432574,6.126,2473.302,57.321,0.286
9.301394,1.41,2826.772,295.528,0.094
37.000667,0.798,50,1.016,0.199
8.46054,1.117,2877.85945460993,295.286920780142,0.199126904326241
9.253997,0.496,59.028,29.389,0.001
0.407208,3.158,2769.188,23.855,0.012
0.77792,1.368,236.415990496454,289.292574539007,0.224200316382979
0.89832,0.804,79.147,261.209,0.228
0.69004,1.628,236.415990496454,289.292574539007,0.224200316382979
0.24076,5.593,233.093905106383,288.70383929078,0.223745132340426
0.195846,5.434,86.037,56.901,0.021
0.02662,30.19,55.163,135.202,0.11
0.117718,2.977,294.168,5.113,0.142
