"g","tau_d","tau_r","tau_f","U"
5.662,2.818,801.464619574468,48.1704194787234,0.331886827234043
3.29612,3.6,801.464619574468,48.1704194787234,0.331886827234043
3.65636,2.377,801.464619574468,48.1704194787234,0.331886827234043
6.38628,1.835,801.464619574468,48.1704194787234,0.331886827234043
4.01432,3.41,801.464619574468,48.1704194787234,0.331886827234043
7.94352,4.127,801.491768617022,48.1717322234042,0.331879364893617
3.55148,2.407,801.574011702128,48.1759948404255,0.331856093723404
1.89316,14.812,801.491768617022,48.1717322234042,0.331879364893617
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,801.501847446809,48.1722307446809,0.331876572021276
19.585536,1.498,2721.23175,92.4930193085107,0.179545680106383
2.88806,14.725,2721.19554574468,92.4885181170212,0.179549557021277
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,57.6159274893617,122.668875085106,0.353786487659574
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,409.008614680851,85.8353992021277,0.265059007553191
9.947043,0.915,402.908975,92.9356964574468,0.267158822446808
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,200.812905638298,191.410793297872,0.127624894542553
2.08421,2.844,178.136444468085,201.984931914894,0.225748597659574
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,178.134829468085,201.99100893617,0.225727836276596
0.48507,3.02,178.134829468085,201.99100893617,0.225727836276596
0.33078,4.054,178.134829468085,201.99100893617,0.225727836276596
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,1994.6850606383,52.7086545425532,0.0527082333510638
0.20223,9.789,1994.88128829787,52.6982594148936,0.0526814277021276
0.4416,9.101,1994.88128829787,52.6982594148936,0.0526814277021276
0.3792,16.139,1994.88128829787,52.6982594148936,0.0526814277021276
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1993.14930212766,52.7617960744681,0.0526987269680851
4.987008,1.306,2217.37261808511,211.946696702128,0.145693504893617
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2217.37261808511,211.946696702128,0.145693504893617
5.62445,2.2,2217.37261808511,211.946696702128,0.145693504893617
4.88665,0.997,2217.45978829787,211.952839361702,0.145657497021277
4.84925,1.118,2217.04891595745,211.937525851064,0.145749496595745
3.8828,1.24,2216.23152659574,211.925529787234,0.145831404361702
0.484515,16.22,1500.85578085106,68.5163984787234,0.259455990638298
0.74124,11.424,1500.85578085106,68.5163984787234,0.259455990638298
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
