"g","tau_d","tau_r","tau_f","U"
5.662,2.818,815.919853580247,48.2156294382716,0.328107578271605
3.29612,3.6,815.919853580247,48.2156294382716,0.328107578271605
3.65636,2.377,815.919853580247,48.2156294382716,0.328107578271605
6.38628,1.835,815.919853580247,48.2156294382716,0.328107578271605
4.01432,3.41,815.919853580247,48.2156294382716,0.328107578271605
7.94352,4.127,815.944441296296,48.215865308642,0.32810352382716
3.55148,2.407,816.018747592593,48.2169218024691,0.328090564506173
1.89316,14.812,815.944441296296,48.215865308642,0.32810352382716
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,815.953560679012,48.2159669876543,0.328101991481481
19.585536,1.498,2572.64040432099,92.0378473888889,0.180240207037037
2.88806,14.725,2572.5990962963,92.0362033333333,0.180242673395062
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,62.3229382962963,122.472992067901,0.351945153765432
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,396.716266049383,84.1154391172839,0.259208673333333
9.947043,0.915,396.01763845679,92.2368805123457,0.261361605679012
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,213.781695740741,189.113811728395,0.130630728617284
2.08421,2.844,198.328279259259,194.225449938272,0.22416396191358
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,198.338198580247,194.232776049383,0.224136691358025
0.48507,3.02,198.338198580247,194.232776049383,0.224136691358025
0.33078,4.054,198.338198580247,194.232776049383,0.224136691358025
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2000.50650617284,55.5648215,0.0534058204444445
0.20223,9.789,2000.42480061728,55.5585946172839,0.0533848499444444
0.4416,9.101,2000.42480061728,55.5585946172839,0.0533848499444444
0.3792,16.139,2000.42480061728,55.5585946172839,0.0533848499444444
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1998.74656666667,55.6374754506172,0.0533809323950617
4.987008,1.306,2106.86781296296,203.518161975309,0.148744120617284
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2106.86781296296,203.518161975309,0.148744120617284
