"g","tau_d","tau_r","tau_f","U"
5.662,2.818,803.808243981482,47.0953471203704,0.362330619537037
3.29612,3.6,803.808243981482,47.0953471203704,0.362330619537037
3.65636,2.377,803.808243981482,47.0953471203704,0.362330619537037
6.38628,1.835,803.808243981482,47.0953471203704,0.362330619537037
4.01432,3.41,803.808243981482,47.0953471203704,0.362330619537037
7.94352,4.127,803.852461018518,47.0943801481481,0.362323899351852
3.55148,2.407,803.985490277777,47.0931002685185,0.36230165037037
1.89316,14.812,803.852461018518,47.0943801481481,0.362323899351852
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,803.868868240741,47.0940892222222,0.36232133037037
19.585536,1.498,2543.29420462963,90.4553798981482,0.142915708462963
2.88806,14.725,2543.36095740741,90.4548245462964,0.142905228916667
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,57.5375514629629,127.839864907407,0.385862666759259
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,423.017558055556,91.524466537037,0.284371821574074
9.947043,0.915,351.437109537037,113.203239333333,0.297405352685185
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,128.689866777778,248.372916388889,0.13134629562963
2.08421,2.844,91.6414621296297,248.441166851852,0.242595258796296
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,91.6564059907408,248.532855185185,0.242459395092593
0.48507,3.02,91.6564059907408,248.532855185185,0.242459395092593
0.33078,4.054,91.6564059907408,248.532855185185,0.242459395092593
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2145.78551759259,44.0404462592593,0.0506022130185185
0.20223,9.789,2145.80947037037,44.1055898981481,0.0505273438055556
0.4416,9.101,2145.80947037037,44.1055898981481,0.0505273438055556
0.3792,16.139,2145.80947037037,44.1055898981481,0.0505273438055556
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,2145.24758333333,44.1570906759259,0.0504552434814815
