"g","tau_d","tau_r","tau_f","U"
5.662,2.818,807.847269124424,48.0029637281106,0.329880884700461
3.29612,3.6,807.847269124424,48.0029637281106,0.329880884700461
3.65636,2.377,807.847269124424,48.0029637281106,0.329880884700461
6.38628,1.835,807.847269124424,48.0029637281106,0.329880884700461
4.01432,3.41,807.847269124424,48.0029637281106,0.329880884700461
7.94352,4.127,807.869735944701,48.00411459447,0.329873787050691
3.55148,2.407,807.937363963133,48.0078680829493,0.329851627373272
1.89316,14.812,807.869735944701,48.00411459447,0.329873787050691
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,807.878060506913,48.0045541428572,0.329871123502304
19.585536,1.498,2665.39198986175,92.5628698018433,0.180861891428571
2.88806,14.725,2665.34585483871,92.5604194608295,0.180865670184332
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,58.7356822258065,121.360257589862,0.351232797050691
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,397.668400368663,84.4228621013824,0.261645495990783
9.947043,0.915,393.324283410138,92.1789549354838,0.26374179124424
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,205.821022442396,190.531075115207,0.129086277276498
2.08421,2.844,188.248177557604,198.230722488479,0.224927328018433
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,188.254965299539,198.234470967742,0.224904401935484
0.48507,3.02,188.254965299539,198.234470967742,0.224904401935484
0.33078,4.054,188.254965299539,198.234470967742,0.224904401935484
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2001.62214470046,54.1722519032258,0.05322782640553
0.20223,9.789,2001.67836543779,54.1644076912443,0.0532077097834102
0.4416,9.101,2001.67836543779,54.1644076912443,0.0532077097834102
0.3792,16.139,2001.67836543779,54.1644076912443,0.0532077097834102
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,1999.76938801843,54.2364597004609,0.053221880313364
4.987008,1.306,2156.08063179723,207.64287921659,0.147669352211981
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2156.08063179723,207.64287921659,0.147669352211981
5.62445,2.2,2156.08063179723,207.64287921659,0.147669352211981
4.88665,0.997,2156.3617875576,207.649124331797,0.147631491520737
4.84925,1.118,2155.48442073733,207.63339046083,0.147727208202765
3.8828,1.24,2154.31699124424,207.620759907834,0.147809904516129
0.484515,16.22,1500.55806774194,69.9038871198156,0.25897848843318
0.74124,11.424,1500.55806774194,69.9038871198156,0.25897848843318
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
7.759233,0.947,126.135899059908,155.961835345622,0.464373846635945
19.884051,1.402,50.147,91.885,0.627
19.443474,1.379,150.018,135.143,0.477
3.589788,1.376,100.669,11.17,0.012
3.589788,1.376,100.669,11.17,0.012
2.294325,1.009,2749.345,33.8,0.033
1.89636,2.769,2047.487,12.929,0.02
2.264892,2.676,1815.523,47.645,0.177
4.763232,2.231,2260.99741198157,25.949567843318,0.0337510350506912
2.17525,2.357,2699.799,25.44,0.07
1.691262,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026
7.537044,1.597,281.64,81.888,0.334
7.537044,1.597,281.64,81.888,0.334
0.912963,1.007,66.724,291.748,0.489
0.912963,1.007,66.724,291.748,0.489
5.868016,0.816,1603.541,1.565,0.433
5.868016,0.816,1603.541,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.966,122.341,5.582,0.601
1.982791,4.619,2635.205,5.835,0.167
1.982791,4.619,2635.205,5.835,0.167
4.005,2.653,56.806,105.369,0.45
6.438932,0.672,150.597,285.059,0.347
6.438932,0.672,150.597,285.059,0.347
3.9546,0.587,149.743,86.419,0.36
3.9546,0.587,149.743,86.419,0.36
4.893283,1.398,182.872,6.783,0.197
3.299696,3.145,50.113,160.992,0.542
1.048606,1.287,52.286,13.945,0.013
10.291496,0.74,1845.695,1.546,0.404
10.291496,0.74,1845.695,1.546,0.404
2.334469,0.855,1737.556,31.157,0.199
2.334469,0.855,1737.556,31.157,0.199
0.95532,1.964,66.666,185.901,0.38
0.95532,1.964,66.666,185.901,0.38
1.920928,1.002,50.597,10.194,0.008
3.41952,0.71,1814.06924976959,30.129309483871,0.340226323548387
0.2694,0.812,1224.30383087558,69.7842503179724,0.278019994930876
5.2768,2.429,2385.61219354839,55.1379197327189,0.276785113041475
0.594704,11.34,2375.968,64.045,0.248
1.432574,6.126,2473.302,57.321,0.286
9.301394,1.41,2826.772,295.528,0.094
37.000667,0.798,50,1.016,0.199
8.46054,1.117,2855.12915391705,293.946686635945,0.183166886359447
9.253997,0.496,59.028,29.389,0.001
0.407208,3.158,2769.188,23.855,0.012
0.77792,1.368,345.080590092166,259.678444930876,0.216798792949309
0.89832,0.804,79.147,261.209,0.228
0.69004,1.628,345.080590092166,259.678444930876,0.216798792949309
0.24076,5.593,341.508158018433,258.748830599078,0.215896281290323
